DATE,OPEN,HIGH,LOW,CLOSE
01-01-2020,400,405,398,302
02-01-2020,401,402,401.05,402
03-01-2020,402.5,406,401,404
04-01-2020,403,407,401.65,406
05-01-2020,405.5,408,405,407.65
06-01-2020,405.45,408,405,407
07-01-2020,407,407.55,403.05,404.2
08-01-2020,403.5,405,401.5,404.05
09-01-2020,404.5,404.55,399.05,400.05
10-01-2020,400,401,398.05,399.75
11-01-2020,400,402.55,399.05,401
12-01-2020,400.3,404,400.15,403
13-01-2020,403.15,405.05,403,404.5
14-01-2020,404,404.55,401.85,402.25
15-01-2020,402,402.25,400.9,401
16-01-2020,400.5,403,400,402.5
17-01-2020,403,403.5,401.5,403.2
18-01-2020,402.95,403.8,402.5,403
19-01-2020,402.8,403,401,401.85
20-01-2020,402.05,404,401.8,403
21-01-2020,402.5,404.2,402.1,404
22-01-2020,404.2,406,404,405.2
23-01-2020,404.5,405.2,403.05,403.75
24-01-2020,403.2,404.2,401.45,402.1
25-01-2020,402.15,403.1,400.8,401.2
26-01-2020,401.05,401.55,400.4,400.55
27-01-2020,401.05,404.05,400.8,403
28-01-2020,402.05,403.75,401.8,403.5
29-01-2020,403.35,405,403,404.55
30-01-2020,404.4,406.25,404.25,405.45
31-01-2020,405.25,408.1,405.05,407.45
01-02-2020,407.2,410.95,407.2,410.55
02-02-2020,410,411.05,404.25,410.8
03-02-2020,410.5,415,410.05,414.2
04-02-2020,414,416.25,413.5,415.55
05-02-2020,415.05,415.35,412.1,412.95
06-02-2020,413.2,415,413,414.2
07-02-2020,414.2,415.65,414.5,415.2
08-02-2020,415.2,416.5,413.85,416.3
09-02-2020,416.25,418,415.5,417.2
10-02-2020,416.5,417.05,415.25,415.45
11-02-2020,415,416.5,414,415.05
12-02-2020,415,415.15,413,414.2
13-02-2020,414.25,414.55,412,413
14-02-2020,413.05,415.5,413.25,414.5
15-02-2020,414,416.15,413.25,415.5
16-02-2020,415,417,414,416
17-02-2020,416.5,418.8,416.25,417.95
18-02-2020,418,420,417.45,419
19-02-2020,418.85,419,417,417.55
20-02-2020,417,417.5,416,416.5
21-02-2020,417,417.45,415,416.05
22-02-2020,416,416.5,413,414.25
23-02-2020,414.05,415,412,412.95
24-02-2020,413.05,415.5,412,414.85
25-02-2020,415.5,416,411,412.55
26-02-2020,412.8,413.25,412.7,413
27-02-2020,412.9,414,412.95,413.8
28-02-2020,413.5,414.2,413.55,414.15
29-02-2020,413.9,414,413.2,413.5
01-03-2020,413.55,414,410.5,411
02-03-2020,411.05,415.5,410.85,414.5
03-03-2020,414,418.15,413.55,417.05
04-03-2020,418,420.5,417.85,419.85
05-03-2020,419,421,419,420.8
06-03-2020,421,424,420.85,423
07-03-2020,422,424.05,421.8,423.85
08-03-2020,423.5,423.85,421.7,421.7
09-03-2020,422,423,421,421.5
10-03-2020,421.65,422,418.8,419
11-03-2020,419.8,420.4,418.05,418.55
12-03-2020,419.1,423.15,418.9,422.5
13-03-2020,424.95,425,422.85,423
14-03-2020,423,424,422.7,422.75
15-03-2020,422.85,423.5,422,422.4
16-03-2020,423.1,425.5,422.65,424.5
17-03-2020,424.15,426.15,423.55,425.5
18-03-2020,425.4,427.05,425.15,425.65
19-03-2020,426,428.65,425.5,428.45
20-03-2020,428.2,428.65,424,424.35
21-03-2020,424.65,425,423.05,423.75
22-03-2020,424,424.5,422.5,423
23-03-2020,423.45,426.05,423.45,426
24-03-2020,426,429.1,425.55,428.75
25-03-2020,428.85,429.5,428,428.5
26-03-2020,428,428.45,426.05,426.15
27-03-2020,426.5,427,425.5,426
28-03-2020,426.35,426.5,424,424.5
29-03-2020,424,425,422,422.05
30-03-2020,422.1,423.55,419.8,420.1
31-03-2020,420,421.05,419.45,420.4
01-04-2020,420,420.55,416.55,417.3
02-04-2020,417.45,418.15,414.6,415
03-04-2020,415.5,418.65,415,418.65
04-04-2020,418.5,420.4,418,420.05
05-04-2020,419,422,419,421.5
06-04-2020,421.25,421.45,420,421
07-04-2020,421.1,421.15,419.4,420
08-04-2020,421.15,421.25,419,419.4
09-04-2020,419.2,420,418.85,419
10-04-2020,419.5,421,419.5,420.35
11-04-2020,420,422.15,419.5,422
12-04-2020,421,422.5,420.5,422.35
13-04-2020,423.2,423.55,422.4,423.1
14-04-2020,423,425,422.5,424
15-04-2020,423.85,424,422,422.65
16-04-2020,422.75,423.05,421.2,421.65
17-04-2020,422,425,422,424.65
18-04-2020,425,428,424.85,427
19-04-2020,426.4,427.5,426.05,426.45
20-04-2020,426.7,427.1,425.5,425.8
21-04-2020,425.1,427.5,424,425.75
22-04-2020,425.75,426.05,423,423.55
23-04-2020,423,424.5,419,424
24-04-2020,423.7,425,423,424
25-04-2020,424,426.85,423.6,426.4
26-04-2020,426,428,426,427
27-04-2020,427,429,427,428.85
